Jahr,Monat,Wochentag,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige
2016,1,1,119,127,22,5,10,14
2016,1,2,113,121,19,5,10,16
2016,1,3,81,91,19,5,4,11
2016,1,4,123,140,32,6,8,18
2016,1,5,164,175,16,9,5,13
2016,1,6,121,128,14,4,2,14
2016,1,7,76,77,11,1,0,11
2016,2,1,141,161,32,6,18,21
2016,2,2,105,113,17,6,10,15
2016,2,3,104,120,19,5,11,14
2016,2,4,131,135,18,5,8,21
2016,2,5,115,129,22,5,7,10
2016,2,6,87,100,11,4,1,5
2016,2,7,46,45,6,4,0,6
2016,3,1,83,87,16,11,11,18
2016,3,2,168,183,16,10,16,28
2016,3,3,147,162,24,12,10,16
2016,3,4,155,175,21,26,13,19
2016,3,5,112,127,8,17,5,10
2016,3,6,111,112,9,22,2,8
2016,3,7,57,65,9,11,0,2
2016,4,1,139,160,18,34,14,22
2016,4,2,131,159,20,27,10,23
2016,4,3,168,193,21,33,12,21
2016,4,4,137,169,19,25,9,24
2016,4,5,145,167,19,31,9,22
2016,4,6,116,136,16,31,1,16
2016,4,7,84,78,5,20,1,8
2016,5,1,160,180,23,33,13,17
2016,5,2,156,192,21,28,9,20
2016,5,3,132,161,16,26,11,15
2016,5,4,124,131,22,40,3,15
2016,5,5,161,182,21,36,11,19
2016,5,6,101,108,12,38,3,8
2016,5,7,117,120,11,42,0,12
2016,6,1,149,192,22,49,16,20
2016,6,2,146,181,16,50,14,22
2016,6,3,156,201,16,48,16,15
2016,6,4,192,231,24,45,15,28
2016,6,5,169,198,21,64,13,19
2016,6,6,99,120,3,28,0,11
2016,6,7,78,81,8,17,2,5
2016,7,1,157,185,20,51,21,24
2016,7,2,161,200,23,38,14,34
2016,7,3,148,167,15,44,13,31
2016,7,4,149,184,23,39,13,31
2016,7,5,219,280,24,53,17,39
2016,7,6,149,174,11,45,1,13
2016,7,7,100,109,13,40,0,6
2016,8,1,138,177,17,38,16,26
2016,8,2,132,169,15,35,20,17
2016,8,3,163,194,15,58,13,26
2016,8,4,127,146,12,56,7,17
2016,8,5,117,132,19,27,4,19
2016,8,6,104,121,7,36,2,7
2016,8,7,80,85,7,34,0,6
2016,9,1,153,177,25,41,17,16
2016,9,2,124,174,14,42,17,16
2016,9,3,121,164,22,34,16,20
2016,9,4,201,239,27,64,22,32
2016,9,5,208,254,21,72,7,33
2016,9,6,142,161,18,39,2,15
2016,9,7,90,98,7,24,0,13
2016,10,1,143,171,17,21,13,19
2016,10,2,158,168,26,33,12,18
2016,10,3,137,161,27,28,10,21
2016,10,4,136,156,15,22,15,24
2016,10,5,135,151,11,25,11,25
2016,10,6,130,132,25,25,2,17
2016,10,7,113,128,14,19,0,13
2016,11,1,140,162,24,7,14,20
2016,11,2,132,171,21,9,10,17
2016,11,3,171,201,27,20,16,27
2016,11,4,138,167,31,14,9,20
2016,11,5,144,171,23,16,10,22
2016,11,6,96,106,21,8,5,7
2016,11,7,66,70,4,1,0,2
2016,12,1,114,137,23,9,10,18
2016,12,2,133,154,27,9,6,22
2016,12,3,126,138,27,12,15,18
2016,12,4,161,187,24,12,9,22
2016,12,5,143,156,18,16,7,11
2016,12,6,108,121,15,6,2,13
2016,12,7,63,69,6,4,0,5
2017,1,1,163,164,20,4,0,30
2017,1,2,135,137,22,2,0,26
2017,1,3,124,124,7,2,0,29
2017,1,4,123,130,13,3,0,23
2017,1,5,129,135,18,2,0,20
2017,1,6,97,105,7,0,0,11
2017,1,7,103,100,11,1,0,13
2017,2,1,81,87,10,3,0,21
2017,2,2,89,99,17,8,0,21
2017,2,3,112,125,19,6,0,28
2017,2,4,103,120,14,9,0,21
2017,2,5,110,122,13,3,0,23
2017,2,6,86,94,15,6,0,11
2017,2,7,48,48,3,6,0,5
2017,3,1,111,133,15,24,0,19
2017,3,2,113,131,16,16,0,35
2017,3,3,147,156,28,25,0,43
2017,3,4,158,195,28,24,0,32
2017,3,5,161,192,19,36,0,30
2017,3,6,94,93,12,23,0,4
2017,3,7,55,53,4,17,0,3
2017,4,1,115,134,17,35,0,28
2017,4,2,139,148,10,20,0,31
2017,4,3,108,131,16,21,0,29
2017,4,4,97,117,11,15,0,17
2017,4,5,106,129,8,19,0,22
2017,4,6,136,159,19,29,0,19
2017,4,7,98,106,9,31,0,10
