Teilnehmer,Jahr,SummeUnfaelle,UKategorie1,UKategorie2,UKategorie3,Sonntag,Montag,Dienstag,Mittwoch,Donnerstag,Freitag,Samstag,Tag,Daemmerung,Dunkelheit,Trocken,Nass,Winterglatt,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
1,2016,5136,14,767,4355,2781,2385,823,3614,4476,5324,6510,6739,6739,7420,11642,12490,12556,12749,12929,13174,13575,14082,14723,15450,16042,16738,17111,17430,17692
2,2016,12580,80,1246,8459,5283,4423,1505,6769,8352,10015,12473,13041,13041,15187,21898,24677,24972,25723,26413,27176,28009,28837,29690,30643,31378,32272,33115,33954,34757
3,2016,1496,4,49,127,108,95,31,141,176,198,226,235,235,266,406,444,446,461,469,489,500,510,526,546,556,578,604,613,626
4,2016,2150,11,171,535,368,282,94,467,592,708,914,955,955,1051,1579,1763,1768,1778,1791,1825,1884,1982,2085,2177,2277,2376,2437,2463,2485
5,2016,731,1,18,66,70,70,18,86,98,108,114,118,118,129,182,210,214,221,229,235,245,251,256,264,271,279,286,293,299
6,2016,1454,0,27,95,72,61,11,92,111,132,162,170,170,187,278,298,309,323,333,343,350,359,371,381,390,406,421,427,431
1,2017,5262,20,818,4424,2833,2435,797,3673,4562,5427,6735,6945,6945,7595,12004,12769,12857,12957,13152,13529,13905,14570,15301,16066,16621,17067,17564,17896,18119
2,2017,12316,71,1240,8176,5201,4308,1402,6642,8126,9765,12115,12628,12628,14673,21282,23689,24160,25001,25584,26328,27045,27877,28690,29639,30328,31119,32041,32822,33647
3,2017,1355,8,35,119,87,76,24,124,148,174,202,211,211,243,365,404,405,413,423,445,457,475,488,503,514,525,536,555,567
4,2017,2111,6,207,489,383,283,79,482,574,698,910,934,934,1024,1548,1721,1726,1732,1744,1797,1843,1943,2052,2152,2260,2337,2399,2423,2428
5,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2017,2106,2,54,206,125,111,47,195,230,265,323,336,336,385,572,629,647,666,690,710,734,756,774,803,819,841,868,892,909
1,2018,5764,23,862,4879,3164,2632,944,4161,5065,5952,7264,7498,7498,8246,13290,13957,14010,14227,14353,14575,15176,15837,16615,17495,18075,18659,19223,19564,19774
2,2018,12773,84,1342,8271,5408,4477,1449,6898,8368,9987,12435,12972,12972,15035,22262,24389,24732,25472,26219,26966,27817,28630,29491,30398,31123,31954,32879,33682,34429
3,2018,1422,5,25,117,88,86,28,118,144,166,186,197,197,221,342,365,368,378,387,395,402,410,429,452,461,475,484,499,515
4,2018,2256,16,184,500,365,266,98,464,574,689,879,916,916,996,1572,1694,1696,1701,1709,1729,1814,1902,2010,2108,2207,2285,2357,2381,2396
5,2018,764,4,16,66,50,50,24,72,87,97,101,103,103,115,181,198,201,213,220,227,235,241,245,252,257,262,270,282,287
6,2018,1416,1,30,141,95,85,29,117,148,180,220,228,228,257,394,427,429,438,443,465,477,494,508,521,539,555,572,584,601
1,2019,5807,20,897,4890,3097,2527,901,4021,4981,5911,7329,7574,7574,8405,13399,14147,14212,14343,14604,14945,15391,15859,16670,17621,18204,18804,19326,19721,20019
2,2019,11915,80,1209,7655,4953,4119,1415,6326,7646,9142,11450,11938,11938,13921,20606,22561,22865,23581,24238,24930,25611,26393,27208,28110,28747,29498,30354,31068,31809
3,2019,1344,3,43,139,103,94,28,137,163,200,236,245,245,278,429,460,463,474,485,507,524,533,544,560,577,599,619,632,648
4,2019,2098,10,179,535,399,303,99,497,602,709,943,990,990,1075,1636,1792,1799,1809,1826,1856,1929,1991,2101,2218,2325,2414,2479,2507,2523
5,2019,750,5,22,73,67,66,32,85,99,113,121,129,129,145,220,241,245,257,265,273,276,290,299,312,319,326,338,344,345
6,2019,1466,1,31,173,122,107,29,146,182,224,264,274,274,337,499,535,542,553,563,575,587,597,615,640,654,674,703,725,747
1,2020,5800,15,917,4868,3138,2554,870,4086,5003,5935,7349,7567,7567,8245,13162,13969,14045,14311,14551,14825,15290,15891,16522,17499,18125,18832,19297,19629,19845
2,2020,9189,63,806,5631,3585,3022,1024,4545,5603,6688,8310,8674,8674,10096,14831,16495,16596,17275,17862,18283,18606,19070,19612,20255,20790,21465,22130,22612,23096
3,2020,1054,7,28,99,71,65,23,93,119,144,166,174,174,201,305,335,335,343,356,366,371,377,394,404,419,436,449,454,469
4,2020,1662,10,178,438,307,211,83,396,502,606,774,809,809,884,1361,1503,1510,1529,1546,1576,1627,1693,1770,1871,1971,2060,2104,2126,2136
5,2020,574,0,15,51,40,40,10,52,63,77,85,88,88,102,147,167,168,174,180,181,186,188,196,197,203,208,215,220,234
6,2020,1163,0,26,174,100,79,33,133,166,198,248,260,260,313,477,510,513,528,545,555,567,577,592,619,651,675,689,700,713
1,2021,5503,22,899,4582,2906,2371,851,3775,4645,5508,7018,7233,7233,7866,12410,13286,13369,13497,13732,14040,14407,14842,15708,16529,17083,17782,18321,18638,18872
2,2021,10002,50,1006,6373,4001,3304,1088,5232,6396,7666,9408,9853,9853,11386,16589,18395,18815,19257,19706,20266,20767,21280,22047,22842,23472,24240,24955,25620,26244
3,2021,1120,8,25,113,78,73,25,102,124,153,187,191,191,209,321,354,355,363,369,381,392,405,422,439,448,465,474,487,501
4,2021,1817,7,178,505,382,270,90,475,563,670,890,927,927,1027,1569,1712,1717,1726,1754,1799,1864,1946,2052,2144,2230,2323,2379,2400,2407
5,2021,597,1,21,55,48,47,19,65,81,90,92,94,94,111,167,182,188,194,198,208,217,219,224,231,240,246,257,262,265
6,2021,1403,1,60,259,154,127,53,199,243,304,410,429,429,499,749,809,819,825,836,849,875,892,935,988,1025,1076,1104,1125,1139
