Teilnehmer,Jahr,SummeUnfaelle,UKategorie1,UKategorie2,UKategorie3,Sonntag,Montag,Dienstag,Mittwoch,Donnerstag,Freitag,Samstag,Tag,Daemmerung,Dunkelheit,Trocken,Nass,Winterglatt,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
1,2016,5136,96,1511,9282,970,1636,1659,1654,1774,1832,1364,7958,630,2301,7523,3049,317,797,729,833,920,951,989,1083,861,1039,952,887,848
2,2016,12580,88,1552,10940,1025,1916,1985,1953,2060,2122,1519,9373,706,2501,8999,3270,311,859,803,911,1062,1074,1204,1299,1024,1267,1067,1048,962
3,2016,1496,17,317,1162,101,259,235,248,268,223,162,1030,99,367,1077,401,18,133,125,103,118,126,110,129,92,134,135,151,140
4,2016,2150,26,463,1661,217,305,292,325,354,371,286,1780,113,257,1729,406,15,35,35,109,201,243,301,310,284,316,173,75,68
5,2016,731,17,131,583,3,173,148,147,131,106,23,588,29,114,536,177,18,39,55,57,56,50,76,79,62,81,63,64,49
6,2016,1454,12,216,1226,89,235,248,235,271,242,134,1173,78,203,1069,352,33,97,92,101,136,106,120,178,118,145,137,115,109
1,2017,5262,87,1536,8990,1018,1613,1552,1647,1635,1824,1324,7838,559,2216,7442,2676,495,874,629,839,799,972,953,1093,824,901,1022,848,859
2,2017,12316,80,1571,10665,1041,1905,1858,1922,1994,2111,1485,9336,633,2347,8977,2849,490,895,695,953,924,1175,1174,1335,951,1050,1201,992,971
3,2017,1355,19,278,1058,102,220,206,203,234,234,156,969,76,310,1003,328,24,98,91,122,90,124,98,122,86,99,166,137,122
4,2017,2111,17,522,1572,224,299,292,323,342,355,276,1785,89,237,1740,361,10,14,41,165,170,265,327,347,286,199,189,76,32
5,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2017,2106,34,347,1725,91,355,368,419,337,362,174,1676,96,334,1576,449,81,152,130,166,156,201,183,224,170,179,206,177,162
1,2018,5764,110,1597,9095,1042,1668,1628,1663,1652,1798,1351,7999,595,2208,8127,2322,353,776,776,804,963,932,1006,1048,856,944,1031,866,800
2,2018,12773,93,1696,10984,1141,1997,1953,2039,1972,2128,1543,9679,661,2433,9909,2504,360,869,828,894,1184,1135,1263,1332,986,1159,1246,1011,866
3,2018,1422,13,284,1125,84,266,246,218,234,220,154,966,89,367,1081,328,13,130,97,111,94,104,116,123,85,116,139,161,146
4,2018,2256,39,544,1673,265,312,326,361,342,348,302,1921,88,247,1961,289,6,34,22,58,295,260,312,351,271,264,256,91,42
5,2018,764,18,121,625,11,154,171,140,136,104,48,617,37,110,581,153,30,56,55,61,73,54,81,64,68,64,64,72,52
6,2018,1416,18,198,1200,81,219,249,237,264,243,123,1145,69,202,1136,249,31,78,87,99,110,130,141,178,131,125,137,110,90
1,2019,5807,99,1484,8575,955,1543,1603,1547,1501,1696,1313,7416,562,2180,7634,2199,325,760,703,764,786,877,963,1073,782,889,982,783,796
2,2019,11915,91,1525,10299,1039,1793,1942,1841,1824,2006,1470,8938,618,2359,9228,2370,317,794,800,880,926,1019,1177,1372,896,1039,1151,955,906
3,2019,1344,18,278,1048,75,215,228,216,215,236,159,945,63,336,1040,283,21,114,99,121,88,103,126,126,76,128,112,111,140
4,2019,2098,30,482,1586,233,254,326,340,318,334,293,1758,103,237,1765,325,8,23,42,106,203,175,338,359,258,253,200,94,47
5,2019,750,15,147,588,6,143,173,148,108,138,34,598,33,119,581,145,24,61,72,50,56,73,67,87,53,54,64,65,48
6,2019,1466,9,231,1226,87,255,235,240,226,261,162,1133,65,268,1160,269,37,78,87,117,111,112,138,180,113,138,151,132,109
1,2020,5800,80,1053,6393,686,1122,1173,1116,1234,1260,935,5513,422,1591,5525,1889,112,727,640,472,396,548,659,782,688,810,743,525,536
2,2020,9189,69,1119,8001,749,1417,1469,1416,1487,1555,1096,7000,471,1718,7003,2066,120,815,732,574,494,690,825,1062,807,1008,911,665,606
3,2020,1054,17,210,827,77,185,164,161,160,187,120,758,58,238,801,249,4,113,104,63,44,75,86,100,83,105,121,70,90
4,2020,1662,19,391,1252,190,216,246,242,281,270,217,1387,87,188,1359,294,9,56,38,87,122,183,188,268,214,232,158,76,40
5,2020,574,14,108,452,7,128,113,102,100,103,21,466,21,87,432,137,5,62,49,32,35,42,55,60,40,46,64,43,46
6,2020,1163,14,151,998,81,183,179,199,207,192,122,913,63,187,891,260,12,88,88,79,77,85,108,132,110,128,110,78,80
1,2021,5503,67,1290,7305,842,1273,1275,1410,1334,1476,1052,6417,507,1738,6163,2057,442,471,498,640,612,627,938,964,771,935,819,725,662
2,2021,10002,57,1326,8619,876,1486,1529,1659,1592,1697,1163,7650,563,1789,7313,2244,445,508,560,718,666,711,1127,1174,863,1061,993,847,774
3,2021,1120,16,219,885,65,171,179,181,200,194,130,866,49,205,860,247,13,60,79,90,83,80,118,117,67,110,110,105,101
4,2021,1817,18,436,1363,248,235,252,270,243,315,254,1541,87,189,1525,284,8,13,54,105,159,179,293,250,202,273,179,80,30
5,2021,597,22,116,459,14,116,107,137,115,80,28,474,36,87,417,137,43,40,35,58,59,32,48,68,63,49,57,49,39
6,2021,1403,10,217,1176,86,211,211,223,237,257,178,1114,68,221,1085,260,58,61,68,70,98,98,179,175,136,194,146,104,74
