OBJECTID,UIDENTSTLA,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstSonstig,ULICHTVERH,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,Teilnehmer,color,symbol
71054,"9,17E+18",9,1,87,179,2017,1,9,4,3,8,1,0,1,0,0,0,0,2,728253.7504,5316760.3844,12.057873787,47.963419651,2,#fc8d62,car
71055,"9,17E+18",9,1,87,179,2017,1,14,4,3,9,1,0,1,0,0,0,0,2,720691.5682,5318766.9936,11.957737064,47.9841007,2,#fc8d62,car
71057,"9,17E+18",9,1,85,131,2017,1,23,4,3,4,1,0,1,0,0,1,2,2,665934.4215,5378741.0011,11.248078329,48.539811061,2,#fc8d62,car
71060,"9,17E+18",9,1,81,130,2017,1,16,4,3,4,1,0,1,0,0,0,2,2,638692066.0,5319486.5761,10.859778236,48.013612316,2,#fc8d62,car
71061,"9,17E+18",9,1,81,145,2017,1,9,4,3,8,6,0,1,0,0,0,0,2,642140.7181,5330103.9649,10.90952519,48.10832714,2,#fc8d62,car
71062,"9,17E+18",9,1,79,131,2017,1,7,4,3,4,6,0,1,0,0,0,1,2,658148.6888,5331283.5817,11.124868862,48.115159547,2,#fc8d62,car
71063,"9,17E+18",9,1,79,121,2017,1,10,4,3,4,6,0,1,0,0,0,0,2,664513013.0,5340067.1317,11.213710145,48.19251338,2,#fc8d62,car
71067,"9,17E+18",9,1,74,121,2017,1,6,4,3,4,1,0,1,0,0,1,2,2,690671.1615,5355809.8128,11.572449571,48.326690888,2,#fc8d62,car
71068,"9,17E+18",9,1,74,141,2017,1,7,4,3,4,1,0,1,0,0,0,0,2,682636998.0,5355682.8192,11.464107713,48.327921716,2,#fc8d62,car
71069,"9,17E+18",9,1,74,113,2017,1,14,4,2,4,1,0,1,0,0,1,0,2,678830.9438,5344942.6329,11.408260148,48.232468838,2,#fc8d62,car
71070,"9,17E+18",9,1,62,0,2017,1,21,4,2,8,1,0,1,0,0,1,2,1,694713.5982,5342266.2228,11.620695124,48.203738076,2,#fc8d62,car
71071,"9,17E+18",9,1,77,117,2017,1,16,4,3,8,1,0,0,0,0,1,1,2,716979.1999,5349688.7316,11.923789583,48.263212379,6,#ffd92f,circle
71072,"9,17E+18",9,1,77,114,2017,1,12,4,3,9,1,0,1,0,0,0,0,2,721489.1151,5344287.7927,11.981652319,48.213126699,2,#fc8d62,car
71073,"9,17E+18",9,1,77,133,2017,1,13,4,3,9,1,0,1,0,0,0,0,2,712015.9119,5357868.2992,11.861104513,48.338390131,2,#fc8d62,car
71078,"9,17E+18",9,1,75,127,2017,1,10,4,3,4,1,0,1,0,0,0,0,2,711363.2322,5341664.6727,11.844211583,48.193008806,2,#fc8d62,car
71079,"9,17E+18",9,1,78,124,2017,1,14,4,3,4,6,0,1,0,0,0,0,2,698014.6679,5362733.6305,11.674672222,48.386656595,2,#fc8d62,car
71080,"9,17E+18",9,1,77,133,2017,1,11,4,2,4,1,0,1,0,0,1,0,2,713462.2045,5353444.8012,11.878357726,48.298156748,2,#fc8d62,car
71081,"9,17E+18",9,1,62,0,2017,1,16,3,3,2,6,0,1,0,0,0,2,2,689196.6379,5330605.8222,11.54133458,48.100601666,2,#fc8d62,car
71083,"9,17E+18",9,1,84,136,2017,1,16,3,3,6,2,0,1,1,0,0,1,1,698840.3387,5325806.5402,11.668495836,48.054532829,2,#fc8d62,car
71091,"9,17E+18",9,7,71,122,2017,1,12,3,3,5,3,0,1,0,0,1,0,1,655830806.0,5358905631.0,11.103910894,48.364074376,2,#fc8d62,car
71092,"9,17E+18",9,7,71,146,2017,1,5,3,3,9,1,0,1,0,0,0,2,2,645973.0602,5345799.2542,10.96636961,48.248586397,2,#fc8d62,car
