ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,Teilnehmer,color,symbol
9,1,62,0,2018,1,16,3,3,2,6,1,0,1,0,0,0,0,1,694902.5837,5332741.8973,11.61887234,48.118080124,2,#fc8d62,car
9,1,87,122,2018,1,10,5,2,5,3,0,0,1,0,0,0,0,1,722015.2174,5306911319.0,11.969342414,47.877117462,2,#fc8d62,car
9,1,77,115,2018,1,17,5,3,4,3,2,0,1,0,0,0,0,1,733892717.0,5351673.71,12.152451205,48.275026941,2,#fc8d62,car
9,1,78,120,2018,1,15,3,2,2,7,0,0,1,0,0,1,0,0,696135.1682,5350015.9774,11.643395468,48.272949416,2,#fc8d62,car
9,1,63,0,2018,1,18,2,3,6,2,2,0,1,1,0,0,0,0,734693.42,5304885597.0,12.137551522,47.854411124,2,#fc8d62,car
9,2,61,0,2018,1,14,4,2,1,6,0,0,1,0,0,0,0,1,726363.2113,5378858.2522,12.065772688,48.521981234,2,#fc8d62,car
9,7,71,122,2018,1,15,2,3,8,6,0,0,1,0,0,0,0,0,652706635.0,5362240.2821,11.062970924,48.394818883,2,#fc8d62,car
9,1,84,135,2018,1,12,4,3,2,6,0,0,1,0,0,0,0,1,692554951.0,5344978.3843,11.592903783,48.228772339,2,#fc8d62,car
9,1,82,127,2018,1,17,4,3,5,3,2,0,1,0,0,0,0,1,699780.4948,5310065.7239,11.673777621,47.912770559,2,#fc8d62,car
9,7,72,159,2018,1,14,5,3,1,7,0,0,1,0,0,0,0,1,622555.4041,5361798.5022,10.655716433,48.397427644,2,#fc8d62,car
9,1,84,141,2018,1,20,3,3,9,1,2,0,1,0,0,0,0,2,691672.3492,5314872.4736,11.567516071,47.958449275,2,#fc8d62,car
9,1,81,145,2018,1,10,5,3,5,3,0,0,1,0,0,0,0,1,644817.3664,5333764.3883,10.946705879,48.140637961,2,#fc8d62,car
9,1,62,0,2018,1,11,4,3,5,3,0,0,1,0,0,0,0,1,685305227.0,5328871506.0,11.488363162,48.086156318,2,#fc8d62,car
9,1,87,117,2018,1,17,3,3,2,6,2,0,1,0,0,0,0,1,723960.1593,5304568.8257,11.99410495,47.855394647,2,#fc8d62,car
9,1,79,117,2018,1,5,2,3,8,1,2,0,1,0,0,0,0,1,660635.6472,5347821.9211,11.164514095,48.263224684,2,#fc8d62,car
9,1,75,135,2018,1,11,3,3,5,3,0,0,1,0,0,0,0,0,708547.5498,5339116.3084,11.805119111,48.171039692,2,#fc8d62,car
9,7,61,0,2018,1,18,5,3,6,2,2,0,1,1,0,0,0,1,642852.6303,5360037135.0,10.929181637,48.377318731,2,#fc8d62,car
9,1,78,130,2018,1,14,4,2,5,3,0,0,1,0,0,0,0,1,704056.9347,5356541787.0,11.753189124,48.329089955,2,#fc8d62,car
9,1,87,117,2018,1,19,5,3,5,2,2,0,1,0,0,0,1,1,723560.9382,5304867.6343,11.988929751,47.858218477,2,#fc8d62,car
9,1,78,123,2018,1,5,5,3,0,6,2,0,1,0,0,0,0,0,688337.0335,5359268.1289,11.542537341,48.358473197,2,#fc8d62,car
9,7,77,155,2018,1,6,3,3,8,1,2,0,1,0,0,0,0,2,633666.3373,5311451.1076,10.789920715,47.942421836,2,#fc8d62,car
9,1,74,146,2018,1,8,3,2,8,1,0,0,0,0,0,0,1,1,668399.3525,5349433.4476,11.269686034,48.275695767,6,#ffd92f,circle
9,1,75,123,2018,1,15,2,3,2,6,0,0,1,0,0,0,0,0,724012.0933,5337258.3511,12.011862503,48.14908571,2,#fc8d62,car
9,7,72,202,2018,1,10,4,3,2,6,0,0,1,0,0,0,0,1,635636.0166,5359116.6759,10.831479656,48.370634605,2,#fc8d62,car
9,1,87,165,2018,1,13,2,3,9,1,0,0,1,0,0,0,0,0,733656276.0,5299609611.0,12.120861611,47.807389108,2,#fc8d62,car
9,7,73,125,2018,1,18,2,3,4,6,2,0,1,0,0,0,0,0,619156.0509,5382393.9587,10.615685301,48.583291046,2,#fc8d62,car
9,1,81,132,2018,1,22,4,2,6,6,2,0,1,1,0,0,0,1,645251.5898,5324436.0967,10.949364702,48.056660747,2,#fc8d62,car
9,1,62,0,2018,1,14,3,3,2,6,0,0,1,0,0,0,0,0,689644.8941,5340129.9835,11.55159133,48.186071995,2,#fc8d62,car
9,1,77,115,2018,1,16,5,2,4,6,2,0,1,0,0,0,0,1,733466.9945,5351922.6384,12.14685969,48.277420168,2,#fc8d62,car
