OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND,Teilnehmer,color,symbol
50237,9,1,79,128,2019,1,8,4,3,2,6,0,0,1,0,0,0,0,657860.724492,5343184.84171,11.125421253,48.222232096,2,2,#fc8d62,car
50383,9,1,73,126,2019,1,16,4,3,4,1,0,0,1,0,0,0,1,684715.43456,5304734.44143,11.470073845,47.869363852,2,2,#fc8d62,car
50518,9,1,82,120,2019,1,12,4,3,4,1,0,0,1,0,0,0,0,699079.13397,5301710.26771,11.660551577,47.83789266,2,2,#fc8d62,car
50679,9,1,78,124,2019,1,14,4,2,2,6,1,0,1,0,0,0,1,703252.525371,5365236.10971,11.74654998,48.407478688,2,2,#fc8d62,car
50855,9,1,87,150,2019,1,17,4,3,2,6,0,0,1,0,0,0,0,728972.247495,5304305.11989,12.060873795,47.851259396,2,2,#fc8d62,car
50935,9,1,79,142,2019,1,16,4,3,4,1,2,0,1,0,0,0,0,671477.403995,5340712.72456,11.307607413,48.196474828,2,2,#fc8d62,car
50952,9,1,83,114,2019,1,1,3,3,8,1,2,0,1,0,0,0,0,742812.474478,5353343.47265,12.273432531,48.28666856,1,2,#fc8d62,car
50976,9,2,74,183,2019,1,12,3,2,5,3,0,0,1,0,0,0,0,741892.346551,5363293.79118,12.266758821,48.376395037,0,2,#fc8d62,car
51018,9,1,84,127,2019,1,5,3,2,8,1,2,0,1,0,0,0,0,704405.205228,5321749.22374,11.74115441,48.016312513,1,2,#fc8d62,car
51035,9,1,74,147,2019,1,7,3,3,7,7,1,0,1,0,0,0,0,670374.963124,5365178.82526,11.302661704,48.416708652,1,2,#fc8d62,car
51095,9,7,61,0,2019,1,0,3,3,2,6,2,0,1,0,0,0,0,642049.30882,5364844.35161,10.919965808,48.420724214,1,2,#fc8d62,car
51136,9,1,84,114,2019,1,11,4,3,2,6,0,0,1,0,0,0,0,699152.196642,5320514.87179,11.670216619,48.006877527,1,2,#fc8d62,car
51215,9,1,82,125,2019,1,17,4,2,4,1,2,0,1,0,0,0,0,711600.993883,5295822.66484,11.824820257,47.780985428,2,2,#fc8d62,car
51272,9,1,78,120,2019,1,15,4,3,9,1,0,0,1,0,0,0,0,694265.034754,5354668.50419,11.62035851,48.315339499,1,2,#fc8d62,car
51295,9,1,86,128,2019,1,19,4,2,5,1,2,0,1,0,0,0,0,676877.624722,5384044.57315,11.39845984,48.584492492,2,2,#fc8d62,car
51338,9,2,61,0,2019,1,11,4,3,2,6,0,0,1,0,0,0,0,733701.021697,5381366.57732,12.166403499,48.541824687,0,2,#fc8d62,car
51418,9,1,73,134,2019,1,16,4,3,4,1,2,0,1,0,0,0,0,685891.499667,5298793.68702,11.483233861,47.815623331,2,2,#fc8d62,car
51557,9,1,87,122,2019,1,17,4,3,1,1,2,0,1,0,0,0,0,722531.926567,5306615.93769,11.976091387,47.874284562,2,2,#fc8d62,car
51656,9,1,83,119,2019,1,19,3,1,4,6,2,0,1,0,0,0,0,737222.696477,5339793.60108,12.190615893,48.167071388,1,2,#fc8d62,car
51728,9,1,75,122,2019,1,15,4,2,5,3,0,1,1,0,0,0,0,721379523,5325756099,11.970552389,48.046660659,2,1,#66c2a5,bicycle
51746,9,1,74,121,2019,1,5,3,3,8,1,2,0,1,0,0,0,0,690646.420003,5353900.32652,11.571253,48.309536624,1,2,#fc8d62,car
51901,9,7,77,130,2019,1,18,2,2,8,7,2,0,1,0,0,0,0,625419.889738,5312138.72054,10.679743994,47.950273475,1,2,#fc8d62,car
51902,9,7,77,140,2019,1,7,2,3,5,3,2,0,1,0,0,0,0,628396.721372,5318067.24022,10.721365997,48.002999724,1,2,#fc8d62,car
51905,9,7,61,0,2019,1,13,2,3,5,3,0,0,1,0,0,0,1,641210.164889,5360940.4974,10.907317034,48.385811123,1,2,#fc8d62,car
51906,9,7,72,207,2019,1,8,2,2,5,3,0,0,1,0,0,0,0,640692.001776,5382097.66726,10.907443956,48.576160716,1,2,#fc8d62,car
51931,9,2,61,0,2019,1,7,2,2,6,2,2,0,1,1,0,0,0,732360666,5382045873,12.148650597,48.548424359,1,2,#fc8d62,car
51932,9,1,73,147,2019,1,17,2,3,6,4,2,0,0,1,0,0,1,681309.784445,5309513.6896,11.426582386,47.913296247,1,3,#8da0cb,toilet
51933,9,1,90,139,2019,1,11,2,3,8,1,0,0,1,0,0,0,0,656835.827482,5296523.80725,11.094565161,47.802952315,1,2,#fc8d62,car
51935,9,1,82,123,2019,1,15,2,3,5,3,0,0,1,0,0,0,0,716120548,5299336992,11.886827112,47.811065489,1,2,#fc8d62,car
51936,9,1,87,129,2019,1,16,2,3,8,6,1,0,1,0,0,0,0,722901.202475,5301599.04215,11.978438465,47.829078506,1,2,#fc8d62,car
51937,9,1,87,122,2019,1,7,2,3,8,1,1,0,1,0,0,0,0,719554.580544,5312942.98047,11.939547269,47.932160855,1,2,#fc8d62,car
51942,9,1,74,135,2019,1,15,2,3,2,1,0,0,1,0,0,0,0,663258.041564,5353274.15419,11.201930227,48.311570397,1,2,#fc8d62,car
51943,9,1,88,126,2019,1,4,2,2,3,1,2,0,1,0,0,0,0,660912.787701,5327896.14539,11.160702671,48.084011932,1,2,#fc8d62,car
51944,9,1,74,113,2019,1,7,2,3,4,2,0,0,1,0,0,0,0,677716813,5351087087,11.395851121,48.288013961,1,2,#fc8d62,car
51945,9,1,77,126,2019,1,6,2,3,4,2,1,0,1,0,0,0,0,720905788,5369487115,11.987013911,48.439733002,1,2,#fc8d62,car
51946,9,1,84,127,2019,1,14,1,2,5,3,0,0,1,0,0,0,0,702135.139638,5320871.09905,11.710333532,48.009142773,1,2,#fc8d62,car
51969,9,1,84,114,2019,1,11,1,3,3,1,0,0,1,0,0,0,0,700112.652284,5318339.20799,11.682065422,47.987024215,1,2,#fc8d62,car
51972,9,1,81,130,2019,1,22,1,3,4,1,2,0,1,0,0,0,0,639794.253976,5325095.08845,10.876380831,48.063805579,1,2,#fc8d62,car
51973,9,1,81,130,2019,1,14,1,2,4,6,0,0,1,0,0,0,0,638314.159491,5321283.09144,10.855293277,48.029849266,2,2,#fc8d62,car
51974,9,1,74,126,2019,1,13,1,3,0,7,0,0,0,0,0,0,1,682899.336811,5344613.35895,11.462853836,48.228348993,2,6,#ffd92f,circle
51975,9,1,62,0,2019,1,11,7,3,2,6,0,0,1,0,0,0,0,691911.390426,5331766.57635,11.57828385,48.11022255,2,2,#fc8d62,car
51986,9,7,77,145,2019,1,21,7,3,9,1,2,0,1,0,0,0,0,629580.250153,5327763.46413,10.74016124,48.089958726,2,2,#fc8d62,car
51988,9,7,72,147,2019,1,8,7,3,8,1,0,0,0,0,0,1,0,638633.038052,5363652.07952,10.873422791,48.410764657,2,5,#a6d854,bus
51989,9,7,71,122,2019,1,18,7,3,9,1,2,0,1,0,0,0,0,651581.989756,5362391.87024,11.047842522,48.396453127,2,2,#fc8d62,car
51990,9,7,72,223,2019,1,9,7,3,3,1,0,0,1,0,0,1,0,618298.878708,5363109.02244,10.598604091,48.410026234,1,2,#fc8d62,car
51991,9,7,72,209,2019,1,8,7,3,8,1,0,0,1,0,0,0,0,634099.755278,5336081.64417,10.803441716,48.163825305,2,2,#fc8d62,car
51992,9,7,72,117,2019,1,12,7,3,4,1,0,0,1,0,0,0,0,629108.886648,5362887.07996,10.744546805,48.405908679,2,2,#fc8d62,car
51993,9,7,71,160,2019,1,8,7,3,4,1,0,0,1,0,0,0,0,654951.19,5349525392,11.088595973,48.279956112,2,2,#fc8d62,car
52027,9,2,74,113,2019,1,8,7,3,8,1,0,0,1,0,0,0,0,727710.160076,5384550.90634,12.087099564,48.572632885,2,2,#fc8d62,car
52028,9,1,73,137,2019,1,16,7,2,8,1,1,0,1,0,0,0,0,675875.706807,5310840.09373,11.354460495,47.926733517,2,2,#fc8d62,car
52029,9,1,90,142,2019,1,7,7,3,5,2,2,0,1,0,0,0,0,658626157,5296203.58,11.118341371,47.799634389,1,2,#fc8d62,car
52040,9,1,82,133,2019,1,9,7,3,9,1,0,0,1,0,0,0,0,703543.090464,5308405.90902,11.72329314,47.896670542,2,2,#fc8d62,car
52042,9,1,87,179,2019,1,11,7,3,2,6,0,0,1,0,0,1,0,723344.23185,5310655.8377,11.989029753,47.910301555,1,2,#fc8d62,car
