fid,OBJECTID,UIDENTSTLA,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND,Teilnehmer,color,symbol
1,22419,"9,200101001473E+018",9,1,84,145,2020,1,15,4,3,2,6,0,0,1,0,0,0,0,697713.6549,5323830.4209,11.652479567,48.037122571,0,2,#fc8d62,car
2,22430,"9,20010100117506E+018",9,1,75,132,2020,1,5,4,3,9,1,1,0,0,0,0,0,1,705365.1691,5335866.8643,11.760797431,48.142874788,0,6,#ffd92f,circle
3,22477,"9,20010100140101E+018",9,1,87,150,2020,1,8,4,3,8,1,1,0,1,0,0,0,0,728788067,5303479.0191,12.05797859,47.843902792,1,2,#fc8d62,car
4,22492,"9,20010100110701E+018",9,1,78,124,2020,1,20,4,3,5,3,2,0,1,0,0,0,0,702641.0873,5362952.1758,11.737195399,48.387151456,0,2,#fc8d62,car
5,22559,"9,200101001219E+018",9,1,88,137,2020,1,20,4,2,9,1,2,0,1,0,0,0,0,672622161,5316906945,11.313376587,47.982158472,1,2,#fc8d62,car
6,22608,"9,200101001473E+018",9,1,82,127,2020,1,18,4,3,2,6,2,0,1,0,0,0,0,702675873,5311009.1628,11.712927053,47.920341073,0,2,#fc8d62,car
7,22622,"9,20010100111307E+018",9,1,75,133,2020,1,15,4,3,6,4,0,0,1,1,0,0,0,706577.3597,5340996315,11.779564935,48.188577358,0,2,#fc8d62,car
8,22729,"9,20010500717301E+018",9,7,71,122,2020,1,8,1,3,2,1,0,0,1,0,0,0,0,651970.3959,5362421.1128,11.053096894,48.396622552,1,2,#fc8d62,car
9,22768,"9,20010500147307E+018",9,1,84,145,2020,1,15,1,3,3,6,0,0,1,0,0,0,0,693414.0249,5325174.9312,11.59546615,48.050523609,0,2,#fc8d62,car
10,22770,"9,200105001213E+018",9,1,88,126,2020,1,17,1,3,4,2,1,0,1,0,0,0,0,660210.2554,5328128.2184,11.151363174,48.086275375,1,2,#fc8d62,car
11,22772,"9,20010500120701E+018",9,1,88,120,2020,1,1,1,3,1,6,2,0,1,0,0,0,0,672091.3469,5325703.9008,11.30980098,48.061384736,1,2,#fc8d62,car
12,22774,"9,20010500120507E+018",9,1,79,121,2020,1,22,1,2,6,4,2,0,1,1,0,0,0,667619.4992,5338723.0845,11.254947814,48.179618222,0,2,#fc8d62,car
13,22776,"9,200104008571E+018",9,1,84,112,2020,1,17,7,3,6,4,2,0,0,1,0,0,1,701978.7449,5338870.2565,11.716751669,48.170949765,0,3,#8da0cb,toilet
14,22777,"9,20010400740701E+018",9,7,62,0,2020,1,15,7,3,2,6,0,0,1,0,0,0,0,622155.6597,5307945595,10.634855596,47.913193038,1,2,#fc8d62,car
