OBJECTID,UIDENTSTLA,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND,Teilnehmer,color,symbol
87296,"9,21E+18",9,2,74,146,2021,1,17,3,3,3,6,1,0,1,0,0,0,1,736859.121252,5378145.79023,12.207293813,48.511710763,1,2,#fc8d62,car
87300,"9,21E+18",9,1,84,134,2021,1,14,4,3,4,2,0,0,1,0,0,0,1,694273.561001,5323343845,11.606157292,48.033805142,0,2,#fc8d62,car
87302,"9,21E+18",9,1,79,132,2021,1,14,2,3,5,3,0,0,1,0,0,0,0,661449.970484,5337535.18236,11.171562344,48.170536146,0,2,#fc8d62,car
87304,"9,21E+18",9,1,73,147,2021,1,14,6,3,0,7,0,1,0,0,0,0,0,680791.261731,5310048.72849,11.419873465,47.918252246,1,1,#66c2a5,bicycle
87306,"9,21E+18",9,1,79,142,2021,1,8,1,3,8,6,0,0,1,0,0,0,1,676636.207572,5343036.93341,11.377936866,48.215953416,2,2,#fc8d62,car
87308,"9,21E+18",9,1,79,113,2021,1,18,3,3,5,3,2,0,1,0,0,0,0,671858.451836,5335750.98631,11.310724875,48.151767866,1,2,#fc8d62,car
87319,"9,21E+18",9,1,82,120,2021,1,14,5,3,5,3,0,0,1,0,0,0,1,702436.151001,5305677659,11.707221178,47.872501052,1,2,#fc8d62,car
87320,"9,21E+18",9,1,62,0,2021,1,18,6,3,4,2,2,0,1,0,0,0,0,689023.478594,5331960.55909,11.539611226,48.112829668,1,2,#fc8d62,car
87321,"9,21E+18",9,1,63,0,2021,1,17,4,3,5,3,1,1,1,0,0,0,0,733335.446188,5305226.19494,12.119608771,47.857965484,1,1,#66c2a5,bicycle
87328,"9,21E+18",9,1,75,132,2021,1,12,4,3,2,3,0,0,1,0,0,0,0,706098.244806,5332909.54691,11.769210274,48.116061947,0,2,#fc8d62,car
87331,"9,21E+18",9,7,61,0,2021,1,17,6,3,2,6,1,0,1,0,0,0,1,636935.638164,5359572.46806,10.849167301,48.3744524,1,2,#fc8d62,car
87334,"9,21E+18",9,1,75,132,2021,1,11,2,3,3,1,0,0,1,0,0,1,0,706360.068179,5336007.14783,11.774223974,48.143813538,2,2,#fc8d62,car
87336,"9,21E+18",9,1,79,113,2021,1,9,4,3,4,1,0,0,1,0,0,0,0,671216.779127,5334740.50873,11.301698071,48.142857057,2,2,#fc8d62,car
87344,"9,21E+18",9,2,74,134,2021,1,9,3,3,9,1,0,0,1,0,0,0,0,744250.435509,5375635.87453,12.305740514,48.486338026,2,2,#fc8d62,car
87347,"9,21E+18",9,1,77,133,2021,1,2,2,3,9,1,2,0,1,0,0,0,0,709739.335863,5359305.87963,11.831137756,48.352067412,1,2,#fc8d62,car
87349,"9,21E+18",9,1,84,119,2021,1,8,6,3,5,3,0,0,1,0,0,0,0,695577.331069,5347230.88518,11.63459814,48.248091595,0,2,#fc8d62,car
87367,"9,21E+18",9,1,86,162,2021,1,6,6,3,2,6,2,0,0,0,0,1,0,690803.034243,5384189.78214,11.587161648,48.581711449,0,5,#a6d854,bus
87376,"9,21E+18",9,1,87,179,2021,1,10,3,3,1,1,0,0,1,0,0,0,0,723254.739764,5310939.49694,11.987980606,47.912881407,1,2,#fc8d62,car
87377,"9,21E+18",9,7,72,147,2021,1,3,4,3,8,1,2,0,1,0,0,0,0,635581.9344,5364347.81651,10.832438635,48.417684459,2,2,#fc8d62,car
87378,"9,21E+18",9,1,85,113,2021,1,20,1,2,4,1,2,0,1,0,0,0,0,669213.970185,5378006.55077,11.292174726,48.532333111,2,2,#fc8d62,car
87381,"9,21E+18",9,1,84,112,2021,1,14,6,3,5,3,0,0,1,0,0,0,0,702434.665938,5337563.30399,11.722254892,48.159059463,1,2,#fc8d62,car
87383,"9,21E+18",9,1,78,123,2021,1,12,3,3,9,1,0,0,1,0,0,0,0,686101.298436,5362033.2387,11.513609084,48.383988707,2,2,#fc8d62,car
87389,"9,21E+18",9,1,74,135,2021,1,5,4,3,3,6,2,0,1,0,0,1,0,660974.58284,5354933.29475,11.17178874,48.327071753,2,2,#fc8d62,car
87395,"9,21E+18",9,1,81,123,2021,1,18,2,3,2,6,2,0,1,0,0,0,0,656241.515612,5326746.73385,11.097601727,48.074839564,2,2,#fc8d62,car
87397,"9,21E+18",9,1,84,145,2021,1,13,4,3,8,1,0,0,1,0,0,0,0,693745.172001,5324122214,11.599428703,48.040961523,1,2,#fc8d62,car
87401,"9,21E+18",9,1,79,138,2021,1,13,2,3,2,6,0,0,1,0,0,0,0,654602.584838,5333021.77525,11.077887129,48.13165859,1,2,#fc8d62,car
87408,"9,21E+18",9,1,88,132,2021,1,8,5,3,4,6,0,0,1,0,0,0,1,664545981,5321825621,11.207116368,48.028508027,2,2,#fc8d62,car
87414,"9,21E+18",9,1,79,121,2021,1,11,4,3,6,4,0,0,1,1,0,0,0,667397.278089,5338384.4647,11.251827338,48.176632632,1,2,#fc8d62,car
87421,"9,21E+18",9,7,61,0,2021,1,7,2,3,4,1,2,0,1,0,0,0,0,639829.74558,5352478725,10.885872052,48.310032474,1,2,#fc8d62,car
87422,"9,21E+18",9,1,62,0,2021,1,7,3,3,3,2,1,0,1,0,0,0,1,694719.52056,5334149.83903,11.617058385,48.130790141,0,2,#fc8d62,car
87429,"9,21E+18",9,1,88,117,2021,1,21,6,3,8,1,2,0,1,0,0,0,0,665399473,5313876744,11.215493084,47.956823565,0,2,#fc8d62,car
87430,"9,21E+18",9,7,71,169,2021,1,15,5,2,8,6,0,0,1,0,0,0,0,639756.343166,5374541.72289,10.892230948,48.508431465,0,2,#fc8d62,car
87433,"9,21E+18",9,1,73,112,2021,1,14,2,3,2,6,0,0,1,0,0,0,0,692058.809869,5293543.92597,11.563213096,47.766624897,2,2,#fc8d62,car
87437,"9,21E+18",9,1,78,124,2021,1,22,3,3,3,1,2,0,1,0,0,1,0,701938.839825,5358717.88445,11.725688079,48.349325565,2,2,#fc8d62,car
87439,"9,21E+18",9,1,75,121,2021,1,8,2,3,3,2,0,0,1,0,0,0,1,714054.520369,5318809.73106,11.868925035,47.986739674,0,2,#fc8d62,car
87440,"9,21E+18",9,7,77,121,2021,1,13,4,3,4,1,0,0,1,0,0,0,0,628495.952184,5320130.48202,10.72331402,48.021534713,0,2,#fc8d62,car
87446,"9,21E+18",9,1,87,122,2021,1,17,1,3,9,1,0,0,1,0,0,0,0,715596.343425,5308811.1461,11.884555878,47.896376221,2,2,#fc8d62,car
87447,"9,21E+18",9,1,86,162,2021,1,13,3,3,9,1,0,0,1,0,0,0,0,694242.217983,5381109.10713,11.632305574,48.552969359,0,2,#fc8d62,car
87456,"9,21E+18",9,1,62,0,2021,1,9,2,3,8,1,0,0,0,0,0,1,0,680794.632001,5339315541,11.432282326,48.181331658,2,5,#a6d854,bus
87459,"9,21E+18",9,7,61,0,2021,1,20,4,3,5,3,2,0,1,0,0,0,0,642827.771327,5359919.02969,10.928805993,48.376262416,1,2,#fc8d62,car
87464,"9,21E+18",9,1,62,0,2021,1,22,1,3,8,1,2,0,1,0,0,0,0,678115.821557,5335024.25133,11.394479453,48.143513628,2,2,#fc8d62,car
87469,"9,21E+18",9,1,90,152,2021,1,11,7,3,4,1,0,0,1,0,0,0,0,669712.22225,5297760.3774,11.266881427,47.810804094,1,2,#fc8d62,car
87487,"9,21E+18",9,1,78,124,2021,1,12,4,3,2,6,0,0,1,0,0,0,0,703008.576727,5363861.75019,11.742592929,48.395206975,1,2,#fc8d62,car
87488,"9,21E+18",9,1,74,135,2021,1,13,6,3,7,7,0,0,1,0,0,1,0,660910.83058,5354982.10163,11.170947899,48.327526769,0,2,#fc8d62,car
87495,"9,21E+18",9,1,77,116,2021,1,6,2,2,2,6,2,0,1,0,0,0,0,711717.775607,5364445.21778,11.860396688,48.397586313,1,2,#fc8d62,car
87499,"9,21E+18",9,1,73,120,2021,1,10,3,3,2,6,0,0,1,0,0,0,0,683525.132259,5310303.91168,11.456540169,47.919769473,2,2,#fc8d62,car
87504,"9,21E+18",9,1,74,151,2021,1,18,4,3,4,1,2,0,1,0,0,0,0,681314.86485,5363175.83382,11.449515686,48.395652527,2,2,#fc8d62,car
87509,"9,21E+18",9,1,79,142,2021,1,23,1,2,9,7,2,0,0,0,0,1,0,677413.338326,5342392.08572,11.388119744,48.209940076,2,5,#a6d854,bus
87511,"9,21E+18",9,1,79,142,2021,1,18,3,3,2,6,2,0,1,0,0,0,0,675234.380131,5344197.40327,11.359561294,48.226773763,0,2,#fc8d62,car
87523,"9,21E+18",9,1,79,125,2021,1,1,4,3,6,4,2,0,1,1,0,0,0,661215.386149,5332367.54089,11.166452331,48.12413596,2,2,#fc8d62,car
87524,"9,21E+18",9,1,62,0,2021,1,14,2,3,5,2,0,1,1,0,0,0,0,684359.003574,5332117.77311,11.47707147,48.115610112,0,1,#66c2a5,bicycle
87526,"9,21E+18",9,1,78,157,2021,1,4,5,3,9,3,2,0,1,0,0,0,0,700058.340001,5370995082,11.706186363,48.460253281,2,2,#fc8d62,car
