OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,STRZUSTAND,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,Teilnehmer,color,symbol
60596,9,1,87,130,2016,1,11,7,2,5,3,0,1,0,1,0,0,0,0,713408414.0,5308858215.0,11.855343702,47.897530471,2,#fc8d62,car
60600,9,1,62,0,2016,1,16,1,3,5,7,2,1,0,1,0,0,0,0,694645.8088,5332073.4572,11.615120746,48.112150975,2,#fc8d62,car
60611,9,7,72,179,2016,1,11,7,3,5,3,0,1,0,1,0,0,0,0,618732.3998,5339526.9996,10.597825296,48.197867051,2,#fc8d62,car
60621,9,1,88,139,2016,1,18,2,3,2,6,2,1,0,1,0,0,0,0,675400.0424,5319044.9994,11.351445351,48.000623233,2,#fc8d62,car
60656,9,1,87,159,2016,1,14,1,3,4,6,0,2,0,1,0,0,0,0,731504.4107,5329561.8171,12.108268991,48.07725986,2,#fc8d62,car
60663,9,1,75,132,2016,1,6,2,3,3,1,2,2,0,1,0,0,0,0,705277284.0,5333354871.0,11.758407212,48.120329027,2,#fc8d62,car
60668,9,1,75,132,2016,1,7,2,3,9,1,1,1,0,1,0,0,0,0,705296.1227,5334703.2891,11.759309536,48.132440574,2,#fc8d62,car
60681,9,1,79,126,2016,1,10,1,3,1,3,0,2,0,1,0,0,0,0,676795.3318,5340015769.0,11.378818658,48.188751551,2,#fc8d62,car
60682,9,1,86,152,2016,1,12,7,3,2,6,0,1,0,1,0,0,0,0,691321.7837,5378490.7371,11.591568986,48.530335428,2,#fc8d62,car
60686,9,1,62,0,2016,1,14,1,3,3,6,0,0,0,1,0,0,0,0,687820.0791,5333578.1613,11.524171977,48.127725114,2,#fc8d62,car
60696,9,7,61,0,2016,1,23,7,3,9,1,2,2,0,1,0,0,0,0,642834.5391,5360172.7,10.928983531,48.378541758,2,#fc8d62,car
60704,9,1,84,147,2016,1,5,6,1,9,7,2,1,0,1,1,0,0,0,696032.0997,5340701.4047,11.6376992,48.189268807,2,#fc8d62,car
60711,9,1,74,122,2016,1,6,2,3,9,1,2,2,0,1,0,0,0,0,684252495.0,5352665169.0,11.484564494,48.300329595,2,#fc8d62,car
60732,9,1,84,146,2016,1,9,6,3,2,6,0,1,0,1,0,0,0,0,695208.9479,5328340224.0,11.620971503,48.078425799,2,#fc8d62,car
